Sentence,Sentence#
"Overall i would recommend it.",5012
"I would recommend this to a friend!",5013
"Outstanding - Only recently purchased but so far, so very good!",5014
"It does take some time to get warmed up and it can sound kind of clunky sometimes, but it's comforting to know that often the sounds you hear are the sounds of the printer heads being cleaned.",5015
"And it shows in the results.",5016
"Great print quality, and consistent operation.",5017
"I would recommend this to a friend!",5018
"Not what we were hoping - We replaced an older canon which we loved.",5019
"This model, although coming with photo paper has issues in grabbing & feeding the paper.",5020
"Our last model also had a back and underneath paper tray which was much more.convenient.",5021
"This prints fine, just missing the past functions..",5022
"I would recommend this to a friend!",5023
"Easy to set up - What's great about it: Print quality . What's not so great: A little slow This printer was easy to set up which is a big plus.",5024
"So far, it has worked well.",5025
"The print quality is great on documents and photos too.",5026
"It is a bit slow but not annoyingly slow.",5027
"Overall it is a great printer for the money.",5028
"About me...",5029
"Demand high print quality I would recommend this to a friend!",5030
"Prints great but challenging to navigate - The printer prints at a great rate of speed and the quality is really very good.",5031
"My only complaint is navigating through the machine when needing to make some function adjustments for example, changing it to scanner mode from fax or printer mode.",5032
"The menu is not real easy to follow.",5033
"I believe there may be a better option on the market.",5034
"No, I would not recommend this to a friend.",5035
"Nice all in one - What's great about it: easy to use . What's not so great: a little large in size Can't wait to use it for photos.",5036
"Does a good job on documents.",5037
"About me...",5038
"Frequent user I would recommend this to a friend!",5039
"Easy to set up and works great with phone and comprehensive - What's great about it: good price easy to work with . What's not so great: instructions that come with packaging After going online to find out about TWO paper trays, during set=up, the printer works great.",5040
"Had no trouble printing pix from iPhone and two different computers.",5041
"Great printer for price.",5042
"About me...",5043
"Frequent user, Photo enthusiast I would recommend this to a friend!",5044
"Good all in one - What's great about it: good color printing . What's not so great: does not sync well with android phone and tablet This is my 3rd Canon all in one .As an artist, I like Canon for color accuracy (my main objective).They did make some improvements: paper tray locations and easier access to ink.",5045
"Very similar to my MX882, so I didn't have to learn a whole new machine.",5046
"However, there are downfalls: slow printing, does not sync well with printing from Samsung Galaxy 4 phone or tab 3 .",5047
"You need to use Google cloud for that.",5048
"If you have iphone/ipad,then no problem.",5049
"It does use alot of ink, but I knew that going in to this.",5050
"I might try HP next time for syncing purposes.",5051
"About me...",5052
"Demand high print quality, small business owner, Frequent user, Photo enthusiast I would recommend this to a friend!",5053
"Awesome for double sided printing!",5054
"- What's great about it: Great price, love the document feeder . What's not so great: Sometimes loses wifi connection I am in school and needed a new printer after my hp died.",5055
"I try to save paper and print all of my notes and papers on both sides.",5056
"School is expensive enough, let alone the paper!",5057
"I noticed in the store that this printer said it prints both sides and boy, does it ever!",5058
"It's quiet and pretty speedy too.",5059
"And if you've never had a printer with a feeder, you'll never go back!",5060
"I would recommend this to a friend!",5061
"Very nice family printer - This printer does everything pretty well.",5062
"Speed is nice too.",5063
"Ink seems to go quicker than my last Epson.",5064
"I would recommend this to a friend!",5065
"Loving it - Having not had a printer at home for a long time, I was excited to make this purchase.",5066
"Focus was on getting a wireless printer that allowed to print from all devises.",5067
"Unfortunately, with little time to put into figuring out how to set it up, I have had difficulty in that area.",5068
"Still not completely happy with the set-up as much as I am with just having a printer again.",5069
"Had to get help from a friend to point me in the right direction for being able to get my laptop to print.",5070
"It was frustrating figuring out how to get it set-up to print from my phone and tablet.",5071
"Still haven't figured out how/if I can get my hubby's phone to print to it as well.",5072
"(I am Android, he is iPhone.)",5073
"I also still have not figured out how to get it to print out of the top tray with the 4x6 photo paper in it.",5074
"This aspect of it has seemed a little less than user friendly, but again, time-wise, I really needed something that was plug in and go.",5075
"About me...",5076
"small business owner, Budget Conscious, Infrequent user, Photo enthusiast I would recommend this to a friend!",5077
"Gets the job done - What's great about it: separate color cartridges . What's not so great: takes forever to warm up I have only had this printer for a few weeks and have not used it all that much.",5078
"But, everything functions well.",5079
"I will likely never use the WiFi option, so I did not set that up.",5080
"Initial setup was a breeze and only took a few minutes.",5081
"The printer is a bit heavier and bulkier than I imagined, but each function does require its own operating space.",5082
"I love the individual print cartridges.",5083
"The only down side of this printer is the amount of time it takes to print or copy the first page.",5084
"It will ""warm up"" for an unusually long time, but after the first print, the rest come at a normal pace.",5085
"I would recommend this to a friend!",5086
"Easy setup on Windows 8 - What's great about it: flexible . What's not so great: middle of the road ink usage.",5087
"Purchased for home office to work with Microsoft Surface 2 with Windows 8 RT.",5088
"Installation was not bad at all.",5089
"From box to working in less than 25 minutes.",5090
"I would recommend this to a friend!",5091
"A terrific all-in-one for the price - What's great about it: Easy to set up, good price, excellent copy quality . What's not so great: slow to warm up, slow to print I bought this printer as a replacement.",5092
"At first, I was concerned because the document holder seemed much more flimsy.",5093
"I needn't have worried.",5094
"This printer is definitely a step up from my previous Pixma despite it's low price, and I couldn't be more pleased!",5095
"The only downside is that it takes a surprisingly long time to warm up and to print - you don't want to have to print anything if you are in a hurry.",5096
"I'm adjusting my time expectations accordingly, but the finished copies are worth the wait, and I am thrilled to be able to print from my iPad directly!",5097
"About me...",5098
"Frequent user I would recommend this to a friend!",5099
"Very good printer scanner for our MAC products - What's great about it: Wireless printing is flawless This printer has been very cost effective and allows to print wirelessly over a large area in the house About me...",5100
"Frequent user I would recommend this to a friend!",5101
"Great printer does it all!!!!",5102
"- What's great about it: It's a Canon . What's not so great: Disc printing tray is a little hard to load.",5103
"It's a Canon .",5104
"Best Buy matched the price I got on Amazon.",5105
"Salesperson looked it up ,verified it .",5106
"I didn't have to wait for to be shipped.",5107
"Sweet!",5108
"About me...",5109
"Demand high print quality, Frequent user, Photo enthusiast I would recommend this to a friend!",5110
"Fast printing and great print quality. - What's great about it: Fast printing, print quality.",5111
". What's not so great: Takes up a lot of space.",5112
"Print quality is great.",5113
"It was easy to set up but still unable to set up the wireless connection.",5114
"About me...",5115
"Frequent user I would recommend this to a friend!",5116
"Good Bang for my Bucks!",5117
"- What's great about it: Easy best up.",5118
"Great Tech support if needed.",5119
"Great cost.",5120
"Very good performance.",5121
"Provides all my needs.",5122
"I'm retired on a fixed income and not very tech savvy.",5123
"I use this for various household/personal applications including printing occasional photos.",5124
"Purchase price was great.",5125
"Ink costs comparable, and cartridges can be inexpensively refilled at Costco.",5126
"I had occasion to need tech support and found Canon people well informed patient and courteous.",5127
"About me...",5128
"Frequent user, Budget Conscious, Photo enthusiast I would recommend this to a friend!",5129
"Good printer for pics - Good printer for printing pictures.",5130
"Good quality prints especially for the price.",5131
"Printer is a little slow.",5132
"I would recommend this to a friend!",5133
"Great printer for my needs - What's great about it: Easy to maintain.",5134
"Setup was simple.",5135
"Price was right for my budget.",5136
". What's not so great: Bulky The printer works as I expected.",5137
"It's reliable and print quality is excellent.",5138
"Setting it up with my network was as simple as any I've ever worked with.",5139
"I would recommend this to a friend!",5140
"I really enjoy using the Canon Pixma 922 printer. - What's great about it: The Pixma 922 prints great photos.",5141
". What's not so great: It is a bit loud, but does have a ""quiet setting"" which I can use at night.",5142
"I really like my Canon Pixma 922 printer.",5143
"It is easy to use and prints great photos.",5144
"I have also sent several photos from my IPhone directly to the printer (it's wireless).",5145
"It also prints good quality letters and documents.",5146
"Once I figured out how to use the scanner function, it was easy to scan documents and email them.",5147
"I do not use the fax function, as I do not have a ""land line"" or DSL dedicated line.",5148
"In summary, the Pixma 922 is a great printer at a very reasonable price.",5149
"I would recommend this to a friend!",5150
"drops wireless connection too often - Even though recommended by consumers reports, I wish I had read the reviews on the Canon website before wasting my time with this.",5151
"Grateful I am a best buy rewards member so I could bring it back.",5152
"Went to ebay and bought another old canon pixma mp 530....922 also was an ink hog...",5153
"No, I would not recommend this to a friend.",5154
"So far so good - Recently purchased PIXMA MX922 to replace our Canon PIXMA MG6220 printer that did not have a fax option.",5155
"So far, we have no complaints with the MX922.",5156
"I gave it 4 stars since we have yet to use the fax feature of the printer.",5157
"The MX922 prints much faster; however it is much bulkier than the MG6220.",5158
"Luckily, we have enough desk space to accommodate its size.",5159
"Again, this is a very new printer and we have not had the use for all the features built in.",5160
"I would recommend this to a friend!",5161
"great printer - What's great about it: its prints beautifully . What's not so great: it takes a few seconds to start printing overall great printer for the price.",5162
"i would definitely recommend it to my friends I would recommend this to a friend!",5163
"a lot of features for a reasonable price - What's great about it: Easy to set up and easy to use . What's not so great: Cannot store fax activity report on a computer Great all in one printer.",5164
"Easy to figure out how to use.",5165
"About me...",5166
"Frequent user I would recommend this to a friend!",5167
"nice replacement for the hp i had - What's great about it: fast, good paper storage, fairly easy to use . What's not so great: no manual it took me days and calls to the customer service department to get this machine set up and functioning.",5168
"shouldn't be that hard.",5169
"going back and forth with the online manual is a pain i will say, the customer service rep was extremely patient and helpful.",5170
"i don't have a feel yet for how quickly i will need ink replacement.",5171
"About me...",5172
"small business owner, Frequent user, Budget Conscious I would recommend this to a friend!",5173
"Horrible printer for wireless printing - Don't buy if you want to use it wirelessly.",5174
"It connects at first, but if you are working on something and come back to print again, you have to reconnect.",5175
"No, I would not recommend this to a friend.",5176
"Photo and CD labeling - What's great about it: Photo and CD labeling Awesome Product.",5177
"Would recommend this product highly to anyone About me...",5178
"Frequent user I would recommend this to a friend!",5179
"great functionality, on the large side - The printer works very well.",5180
"Also, the air print is nice.",5181
"However, the printer is a bit larger than I prefer.",5182
"Ink is affordable as well.",5183
"I would recommend this to a friend!",5184
"Easy to set up - What's great about it: on standard printing it's fast . What's not so great: high quality printing is a little slow So far I have been happy with it's performance and the nice thing about it is it comes with standard cartridges right from the factory About me...",5185
"Infrequent user I would recommend this to a friend!",5186
"Great functional but big printer - This printer can do everything with ease.",5187
"I like the fact that it uses the more modern ink, which is cheaper and lasts a lot longer than Canon previous printers, so you save money in the long run.",5188
"Also I wanted an all-in-one wireless printer with a Hard line Fax/phone connection, and this Canon is capable of doing so.",5189
"The only downside of the printer is its size.",5190
"For a home use, this printer is very large and boxy.",5191
"Operationally, the printer is quiet, versatile, and can do it all.",5192
"If you have the space, I would definitely recommend this printer for all.",5193
"I would recommend this to a friend!",5194
"having a problem getting it properly installed - . What's not so great: can't talk on phone w/o fax interrupting I think I need the GEEK SQUAD because my computer person has been here 6 x trying to hook it up so that the fax can come in but not when I'm talking, my phone cuts off.",5195
"H E L P. About me...",5196
"Frequent user I would recommend this to a friend!",5197
"Not bad printer, If on sale - What's great about it: Not to loud, Print speed ok . What's not so great: Ink usage, WIFI set up This is a nice printer, IF you get it on sale.",5198
"I bought this printer to upgrade from my Epson 600 workforce.",5199
"I figured newer model might have new features and possibly use less ink.",5200
"I have other canon products, Trust name ext, ext, ext...... Cons First off WIFI setup was a PITA ( Compared to my Epson).",5201
"Seems to use more ink Then the Epson ( Not by much) Ink Cartridges cost more then the epsons ( not by much) Not a big fan of the tray that holds the printed documents.",5202
"Papers easily fall off Instructions are average at best Pros Looks nicer then the Epson lol Printing speeds are just a tad slower the then Epson WIFI works great (Once you get it to work) Has a paper cartridge holder at the bottom.",5203
"Has a few more features ( Software) This a decent printer, but not for 199.99 .",5204
"I prefer my old Epson to this printer.",5205
"I guess I could have taken this back to try the newer epsons, but this still works ok and still meets my needs.",5206
"In the software this has a few more cleaning programs that are really nice.",5207
"Don't get me wrong this this is a nice printer, but folks if your heart is set on getting this ONLY BUY IT, IF IT IS ON SALE.",5208
"I have seen BB list this on sale for as low as 99.99.",5209
"WIFI setup- spent a hour trying to get this printer to connect to my computer.",5210
"Followed the instructions over and over and over again.",5211
"I was about to package it up and take it back, then I tried it one more time and it connected.",5212
"I didn't do any thing different........",5213
"I recommend before you hook this printer up , let it sit on your lap, pet it, talk really nice to it, again BEFORE you connect it ;-) I would recommend this to a friend!",5214
"Excellent value - What's great about it: Great photo quality . What's not so great: Set up The set up was difficult with the WiFi instructions.",5215
"They referred to buttons on the router that mine doesn't have.",5216
"Had to call the Geek guys for help!",5217
"Also very noisy.",5218
"About me...",5219
"Demand high print quality, Photo enthusiast I would recommend this to a friend!",5220
"Great features but complicated for none techie - What's great about it: print via google print,print on DVD/CD,2 sided printing,auto feed fax . What's not so great: complicated for none techie The features are great: two sided printing,printing via Google print with smart phone or other smart devices,print on printable DVD/CD.",5221
"large capacity auto feed fax.separate ink cartridges for each color.",5222
"Down side: the trays seem flimsy and the printer is a little too complicated for none techies About me...",5223
"Budget Conscious, Infrequent user I would recommend this to a friend!",5224
"neat features - The setup went flawlessly for my wife's laptop but mine had problems.",5225
"About me...",5226
"Infrequent user I would recommend this to a friend!",5227
"Easy setup.",5228
"Great quality prints. - What's great about it: Ease of use; all the features at a great price.",5229
". What's not so great: Wi-Fi setup was a little confusing; online forum helped.",5230
"I love this machine.",5231
"Only in my house for a few days and already paying for itself.",5232
"About me...",5233
"Frequent user, Budget Conscious I would recommend this to a friend!",5234
"Disappointed in this purchase so far - What's great about it: Easy to use . What's not so great: Slower than expected I have found the process of printing a document is slower than I expected.",5235
"I think I should have shopped longer.",5236
"It also needs further adjusting to clear up smudging one inch from bottom of printed page About me...",5237
"Demand high print quality, small business owner, Frequent user No, I would not recommend this to a friend.",5238
"Too many Paper jams - Two sided printing created a jam In the back almost every time I tried it!",5239
"Disappointed",5240
"Good Printer!",5241
"- This does a very good job printing photos and 4 in one functions work well.",5242
"A little on the large size.",5243
"Prize was real good.",5244
"I would recommend this to a friend!",5245
"Does the job - Makes a bit of noise at it gets ready to print but the prints ate good",5246
"Bulky But Good Printer - I have had this printer for a little while now, and my only major complaint is the size.",5247
"It truly is a large printer.",5248
"I haven't yet had to replace the ink cartridges, which is a plus.",5249
"The only reason why won't give it 5 stars, as of now, is the size.",5250
"All in all, its a pretty good printer.",5251
"good but slow - This is a great printer.",5252
"Takes a while to warm up though when you first go to print something.",5253
"Photos are excellent quality I would recommend this to a friend!",5254
"Value for your money - This is generally a basic e-printer with scanning & faxing capacity, and for the $100 that we paid, I'd say it's worth the money.",5255
"It does not waste paper because it stores fax confirmation info and you'd print it only when you need it.",5256
"You can use the automatic document feeder or the plate for scanning.",5257
"But what I really love is that you can also print cd labels with it!",5258
"CON: randomly goes offline I would recommend this to a friend!",5259
"Quick, Versatile Printer - The only bad thing I can say about this printer is that it is BIG.",5260
"Other than that, it works very quick and fairly quite.",5261
"Easily prints both sides of a paper and excepts heavy weight paper types.",5262
"The reason I picked this model was because it will print on specially surfaced CD's .",5263
"It has a number of features that I have not used yet which makes it even a better value.",5264
"I had an Epson before until I did their upgrade which made it stop recognizing their ink cartridges.",5265
"Great Printer for Lap Top - Have had the printer for about a month.",5266
"Setup was very easy.",5267
"WiFi setup was much easier than I was expecting, due to problems some other reviewers reported.",5268
"This printer is much easier to make scans compared to my HP printer.",5269
"Great printer so far - I have only used the printer for printing so far and it does a great job with that.",5270
"I like the option to choose greyscale printing under properties to use less ink.",5271
"It is a large printer which may not appeal to some and goes through some noisy processes when printing.",5272
"I haven't used the other features yet but so far I like it.",5273
"Fantastic!",5274
"- Bought to be an all around office and home printer about 6 months ago and have had zero issues.",5275
"AirPrint works great every time, wifi connection to other home computers still works (unlike previous Epson that started disconnecting 2 months in), and print quality on docs & photos is perfect.",5276
"Very much recommend!",5277
"Very Loud - This product is very loud when in use and it took like 2 minutes to warm up when I just wanted to print something pretty quickly.",5278
"It is also very bulky, don't be fooled by the pics that seem to make it look small.",5279
"It also didn't seem very user friendly to me, but those are in my opinions.",5280
"I don't recommend it to anyone.",5281
"Decent for the price - I have always owned Canon printers, the MX922 all in one is a fine printer for the price.",5282
"The only drawback is the 1) loud auto release drop down of the paper tray, and 2) not supplying a separate paper feed guide for loading photo paper that would eliminate the use of a cassette tray.",5283
"All in all, the print quality is great, and the WiFi and fax features work effortlessly.",5284
"I would recommend this to a friend!",5285
"Average Printer - This printer has good functions and makes good copies.",5286
"The only problem is that the printer only last about 3 years.",5287
"best printer for the value - Pictures are perfect.",5288
"I love this printer.",5289
"My only complaint is it is not very user friendly...",5290
"I would recommend this to a friend!",5291
"Slow - Printer takes time to warm up and is slower than other printers I have owned No, I would not recommend this to a friend.",5292
"These printers generally only last about 3 years - This is my third Canon MX printer.",5293
"I choose Canon printers because they work seamlessly with Apple products, and they look good.",5294
"That being said, my last two, an MX822 and MX892, only lasted about 3 years until they abruptly went dead...I'm beginning to think Canon does this on purpose.",5295
"The MX922 is working just fine now, but I don't expect it to last more than 3 years, unfortunately, which is why I am giving it an average rating.",5296
"Other than that, so far, I can tell the MX922 is sucking down the ridiculously priced ink fast for the amount I print.",5297
"I have also noticed the color cartridge levels declining as fast as the black cartridges even though I print ""black only"" about 99% of the time...I mostly print out black and white shipping labels and black and white invoices these days.",5298
"I liked my MX892 better because I could load paper in one of two trays, the front or the back.",5299
"I could keep an 8.5x11 sheet of labels in the rear tray, and regular paper in the front tray.",5300
"With the MX922, there is only one tray that accepts regular size paper.",5301
"The other tray is for small size photo paper or something, utterly useless in my opinion, a terrible decision on the part of Canon.",5302
"Good Product for the price - I like the quality of print and ease of set-up.",5303
"Size it a bit big.",5304
"I like the neat design.",5305
"Canon Printer great on colors - Canon - PIXMA MX922-This printer is my 4th Canon printer and 3rd all in one.",5306
"I really like the wireless access.",5307
"Can use with all my Mobile devices.",5308
"(IPhone, I Pads and Laptops).",5309
"It has beautiful color printing.",5310
"Setup was quick after a tech walked me through the wireless install.",5311
"I really like this product.",5312
"I would recommend this to a friend!",5313
"Great all purpose home printer/fax/copier - Excellent product-it has been easy to operate, has great color, and has been reliable.",5314
"I used to be only an HP person, but I really like this Canon product, especially the multiple color cartridges, which allow for easy replacement and reduce cost.",5315
"I would recommend this to a friend!",5316
"Pleased with quality and ease of operation - Previously bought an Epson Workforce and was extremely unsatisfied with the quality of pictures.",5317
"Delighted that the Canon prints CDs and DVDs.",5318
"And the quality of the pictures is astounding.",5319
"Could not be happier.",5320
"Good all in one - Only given 4 stars because of its bulk and size, plus it shakes more than I thought it would during use.",5321
"Otherwise fine.",5322
"I would recommend this to a friend!",5323
"A really nice printer. - Really easy to set up.",5324
"Like all printer manufactures they make their money on the ink so it only comes with the minimum amount before you have to spend another bundle on ink.",5325
"I like being able to print from all my devices.",5326
"Would like it to have the brushed finish instead of the glossy as it shows finger prints.",5327
"I would recommend this to a friend!",5328
"Good printer, but... - Mixed feelings about this printer, my second purchase of the same model.",5329
"It's large, very slow, sucks down the ink, and doesn't seem to scan multiple pages into one document--making each page its own file.",5330
"On the good side, the print is good, the scan is accurate, paper and ink loading is easy, adjusting sizes is easy on prints and pictures.",5331
"Eventually you can get the wifi to work so no cable is needed, and you can get the printer including ink for $100 so it's affordable to start.",5332
"I had the Pixma MX 892 prior to this and it lasted 1 year with only light use, then error B200 appeared on screen and it quit working, even after I cleaned the printhead.",5333
"It refuses to tell you what's wrong, just says go to service center.",5334
"Since repairs are as costly as a new printer, gave up and bought a second MX 922 so I can at least use the same ink cartridges in them.",5335
"Only time will tell if this one performs very long?",5336
"No, I would not recommend this to a friend.",5337
"nice pictures - This is a good printer if you only print for personal use, and not very often.",5338
"The picture quality is nice and it faxes fast.",5339
"THe only issue I have is that it takes a long time from pressing the print button to getting the actual paper.",5340
"I can print, then go do a small task and then come back and the paper will just be beginning to print.",5341
"I would recommend this to a friend!",5342
"Great printer - Only problem with start up was when printing pic from my iPhone it would go directly to the top tray where I could only print on reduced size paper.",5343
"Once I got help from the internet it works great, but felt the start up instructions should have dealt with this.",5344
"I would recommend this to a friend!",5345
"Good printer for the price. - Coming from an HP printer I bought a few years ago I can say this is a huge improvement.",5346
"It's way more cost efficient when it comes to ink.",5347
"The boot time is quite quick.",5348
"The UI is easy to move through.",5349
"The paper tray(s) can hold a decent amount of paper.",5350
"My only gripe is the paper sometimes doesn't load sometimes but it's no big deal.",5351
"The other printer had the same problem but it was much worse.",5352
"Overall I recommend this printer.",5353
"I would recommend this to a friend!",5354
"Slow printer - Nice looking all-in-one printer but very slow...uiet",5355
"Easy to install - I would give this a 5 star, but I do not like the fact that all ink jet printers eventually fill their waste tank (which most people do not know about) and stop working.",5356
"It costs too much to replace the tank, and they end up in the landfill.",5357
"Other than that, this is a good printer.",5358
"It installs easy if you follow the instructions in the setup instruction manual.",5359
"I have mine on a wired network and it assigned an IP and was easily found.",5360
"The speed is decent.",5361
"The only down fall I could see so far is that when you want to print envelopes, you have to remove the paper in the tray and load envelopes.",5362
"It isn't a big deal, but it has two trays.",5363
"It would have been nice if the second tray had an envelope option.",5364
"When aligning the print head after first install, load the special paper in the bottom tray (which is not as noticeable as the middle tray).",5365
"The bottom tray loads regular paper and the mid tray seems to be for smaller papers (photo paper size).",5366
"I wish the mid tray had more paper size options.",5367
"Not as good as I expected - This is the 3rd Canon I've owned.",5368
"Read all the reviews and it seemed like another great printer from Canon.",5369
"But it is only a decent printer at best.",5370
"They moved the paper trays to the front, again not a bad idea, but they put a drop down paper eject tray right above them.",5371
"In order to fill the trays, you must close this drop down and if you forget to put it back down before printing, it violently and loudly puts itself back down.",5372
"Just waiting for it to break.",5373
"It takes the thing sometimes a full 2 to 3 minutes to ""warm up"" before printing if it has sat for more than a couple hours.",5374
"If you do use 8.5 x 11 photo paper that will go in the regular paper tray, you can only put them in one at a time.",5375
"If you put more than that they will all try to pull through the printer together.",5376
"And it is not a quiet printer by any means.",5377
"Not very fast printing either.",5378
"Mediocre design by Canon to say the least.",5379
"Disappointed.",5380
"It works for what we need - Besides lacking a rear document feeder, this has at least the same functionality as the printer its replacing, the mx822, which was a fairly decent printer.",5381
"I haven't tried all the bells and whistles, but it does print from my ""smart"" phone, which it turns out is pretty handy.",5382
"Great printer for home use - This printer is a great combination of quality and value.",5383
"It was relatively easy to set up on my home network, both wired and wireless, and the ink cartridges were easy to install.",5384
"Also, the printer does not use as much ink as the HP printer it replaced.",5385
"The only negative is that the paper tray has to be manually pulled out to see how much paper remains and to load paper.",5386
"I would recommend this to a friend!",5387
"Decent printing quality - Printing quality is good.",5388
"Could use some improvements in the ""user-friendly"" category",5389
"ok - Did not like all the controls attached to the printer lid.",5390
"Returned.",5391
"No, I would not recommend this to a friend.",5392
"Thanks.",5393
"That worked.",5394
"Now I will try to print on a DVD.",5395
"Easy Photo Print EX v4.1.6 works on 10.8 and 10.7.",5396
"So use this software to print on your DVDs.",5397
"Note that if the printer was added using the AirPrint driver then this will not work with EPP.",5398
"So you will need to remove this printer, or add another, and ensure you select the MX920 Series driver in the Use menu.",5399
"I am trying to print on dvd using Canon mx922.",5400
"Canon software (image garden and photoprint ex) do not recognize printer using iMac running 10.7 and macbook air running 10.8.",5401
"Canon has no solution and referred me to Apple.",5402
"Anyone have a workaround?",5403
"Any other software to try?",5404
"Thanks.",5405
"My Pixma MX922 hasn't had a problem.",5406
"I got it just before Mavericks was released, and it hasn't changed with the New OS at all.",5407
"With Canon's help, I discovered the problem: When the download program executes, it downloads 5 pdf files into a directory in my computer's ""download"" directory, 5 pdf files.",5408
"Thus, one should look for the directory, named, pml_-win-mx920-1_3-en which contains 5 pdf files, for different printer functions, e.g., printing, faxing, etc. .",5409
"Is there a manual for the canon MX922",5410
"I would like to have a manual .",5411
"I have a beautiful printer and I don't use it because there are no directions.",5412
"How can I get a Manuel for a PIXMA MX922 ?",5413
"Please let me know.",5414
"Thank you.",5415
"I had the same download experience.",5416
"The ""loader"" .exe program executes, and I could see a ""progress"" bar display a 1-2 second event, but when the progress completed the little screen disappeared.????",5417
"Re: Is there a manual for the canon MX922 - Hi JM, thanks for posting1 Click on the link below for access to a free downloadable copy of the user's guide for your MX920 Series printer.",5418
"Please note that you may need to choose your computer's operating system before downloading.",5419
"We hope this helps!",5420
"an error has occurred.",5421
"I turned of the computer and unplugged it but still does not response to an request",5422
"Re: Printer forcing A4 paper size?",5423
"- Hello chimom.",5424
"Since this occurs with both copies and printouts, additional troubleshooting will have to be done to narrow down the cause of your issue.",5425
"Please contact our support group using the link below for additional assistance.",5426
"I've had a new Canon Pixma MX922 for a couple of weeks and so far I'm really liking it.",5427
"The first problem I've noticed is the printer seems to print everything as if I'm using A4 paper instead of US Letter size.",5428
"Unless the margins are very wide, the sides are always cut off.",5429
"This happens when printing, when making a scan or copy from the glass, and when making a copy via the feeder.",5430
"I'm certain I am placing the documents correctly and the paper guides are set properly.",5431
"Any ideas?",5432
"Let me know if you need more info.",5433
"Good afternoon, I am currently facing the same issue and wasnt able to fix it.",5434
"Is there something I should do?",5435
"Thank you so much in advance, Diogo",5436
"Re: PIXMA 922 Unable to pick up paper from lower tray - Hello sewell.",5437
"If the paper has been loaded correctly and the error persists, additional troubleshooting will have to be done to narrow down the cause of your issue.",5438
"Please contact our support group using the link below for additional assistance.",5439
"http://www.usa.canon.com/cusa/consumer/standard_display/contact_us_consumer",5440
"I tried this solution over 10 times and my printer still does not work.",5441
"Is this really supposed to be this difficult.",5442
"I get it 100%!",5443
"It prints.....3 sheets of paper in 6 months.",5444
"I'll never get this time back I've wasted with this printer.",5445
"And If your wondering I'm not stumped at all, it's the printer itself that's the problem and all you can do is create a band aid or work around instead of recalling the item.",5446
"My Father got this as a gift for my health issues and this has caused health issues just by owning it.",5447
"Load up one tray and the other tray is an issue.",5448
"You maybe print 2 sheets of paper and I guess it gives up after that as it needs to have different or the same setting with the paper size, paper tray and the software within has to be set to a different setting so it don't confuse itself and maybe just maybe you can squeeze out something. - I for sure got a Lemon and as I see thousands of posts it's seems like you either got one that works or it doesn't!",5449
"I recently purchased the PIXMA 922 and have been having issues printing.",5450
"I have put standard Staples copy paper in the lower tray.",5451
"When I go to print it will sometimes print a page or two, then it gives me ""Support Code 1008"" error saying there is no paper.",5452
"I have to open the lower tray, readjust the paper a bit, hit ok.",5453
"At that point its about a 40% chance of printing another page or two, otherwise it thinks again and then gives the same error.",5454
"It makes it almost impossible to print anything more then a couple pages since every few pages is spending a few minutes going back and forth with the printer.",5455
"Did I get a lemon?",5456
"Is there something I missed that would make it so the printer can't pick up the paper?",5457
"Before I return the printer I wanted to try to get some assistance.&#13;&#10;&#13;&#10;Thanks!&#13;&#10;",5458
"Re: PIXMA 922 Unable to pick up paper from lower tray - Thanks Michael.",5459
"Your email support responded quickly and I have already received a replacement printer.",5460
"I appreciate the response.",5461
"I own a Canon Pixma 922 and from the very start I have been having issues with the networking staying connected.",5462
"My network is a simple 3 computer connected to a D-link 655 router with WPS abilities.",5463
"before this printer I had a very similar, older model.",5464
"I set that up once, after purchase and until it finally gave up the ghost it remained connected solidly to all the computers in the house, including laptops that connected once a month if that.",5465
"Power went out several times and it remained reliably connected.",5466
"The new Pixma 922 instead disconnects from the network several times a day.",5467
"The record so far has been 3 whole days without the need to reset it.",5468
"Otherwise the moment we try to print and the print job is not running, we just go to the router, press the WAP button and quickly reset the network.",5469
"After that it will work reliably for a few hours until the next time (usually later in the day).",5470
"I don't need to point out how disappointed I am.",5471
"For me it's rather easy to reset, but my wife is constantly aggravated by it (as if I designed it) and my daughter always forget how to do it and has to wait for me.",5472
"I have been unable to find similar posts to this one, so I assume it's not an endemic problem.",5473
"But is there a way to fix it or at least troubleshoot it?",5474
"Re: Canon Pixma 922 constantly losing network connection [ Edited ] - I am having a similar problem.",5475
"For example, I just turned on my laptop this morning (which has been continually connected to the MX922 for several days now) and the printer status is ""Printer not responding"".",5476
"This happens quite frequently.",5477
"I had an older model wireless Canon printer before this one, and I never had this issue.",5478
"I have had the MX922 for just a few months and this has been an issue from almost the beginning if I remember correctly.",5479
"I did not print that much after I purchased the printer so the problem didn't really become noticeable until the last few weeks.",5480
"I have to turn the printer off and back on in order to get it to work/print anything...",5481
"This is very annoying and frustrating...",5482
"I have tried many things, like reinstalling the drivers and software, resetting the router/modem, etc., and nothing seems to keep it connected.",5483
"Can someone please help with this issue?",5484
"Well thanks Tom !",5485
"In fact, I have the latest update on my IPad, the wifi is the same but it still doesn't work...",5486
"Hello, I will try to write in english, so sorry in advance for my mistakes...",5487
"I have an airprinter Canon MX920.",5488
"I have no problem to print from my computer.",5489
"But my I-pad doesn't recognised my airprint .",5490
